Metric,Value
AnalysisAdjIOPSSavedRatio,-1
AnalysisAdjMeanTimeInSystem,-1
AnalysisAdjEpisodesAdmitted,-1
AnalysisAdjCacheSize,-1
ServiceFetchIOs,113712
ServiceFetchChunks,2811230
ServiceFetchChunksDemandmiss,2811230
ServiceFetchChunksPrefetch,0
ServicePutIOs,20489
ServicePutChunks,941109
ServiceGetPutIOs,134201
ServiceGetPutChunks,3752339
BackendBandwidthGet,581.1765673018235
BackendBandwidthPut,194.55914246676787
BackendBandwidth,775.7357097685914
WastedHitsAfterEpStart,2810878
WastedHitsAfterEpStartIOs,0
WastedHitsAfterEpStartIOsRatio,0.0
WastedHitsAfterEpStartServiceTimeRatio,0.5889898851903492
WastedHitsAfterEpStartServiceTimeRatioIOs,0.0
WastedHitsAfterEpStartServiceTimeRatioChunks,0.5889898851903492
WastedFlashRatio,0.9960578153872206
FlashRatioEAHitsLeft,0.0
WastedFlashRatioEvictEANoHits,0.0
WastedFlashRatioEvictEA,0.0
WastedFlashRatioAdmitReadmissionEp,0.0
WastedFlashRatioAdmitDoomedOnLastSeenReadmit,0.0
WastedFlashRatioAdmitReadmissionEpHidden,0.0
WastedFlashRatioAdmitDoomed,0.0
WastedFlashRatioAdmitDoomedOnLastSeen,0.0
WastedFlashRatioAdmitDoomed1ChunkAcc,0.0
WastedFlashRatioAdmitDoomed2ChunkAcc,0.0
WastedFlashRatioAdmitDoomed3ChunkAcc,0.0
WastedFlashRatioAdmitDoomedOneAcc,0.0
WastedFlashRatioAdmitNotInEpisode,0.0
WastedFlashRatioEvictPrefetch,0.0
TotalChunkQueries,3097546
TotalUsefulPrefetches,0
TotalWastedPrefetches,0
WastedPrefetchRatio,0
ServiceTimeSavedFrom,399.7731713286713
ServiceTimeSavedRatio,0.09583088746641297
ServiceTimeSavedFromAdmitBuffer,0.0
ServiceTimeSavedAdmitBufferRatio,0.0
ServiceTimeSavedFromFlash,156.3195
ServiceTimeSavedFlashRatio,0.037471840252606706
ServiceTimeSavedFromRamPrefetch,0.0
ServiceTimeSavedRamPrefetchRatio,0.0
ServiceTimeSavedFromRamPrefetchFirstHit,0.0
ServiceTimeSavedRamPrefetchFirstHitRatio,0.0
ServiceTimeSavedFromFlashNotInRam,156.3195
ServiceTimeSavedFlashNotInRamRatio,0.037471840252606706
ServiceTimeSavedFromFlashPrefetch,0.0
ServiceTimeSavedFlashPrefetchRatio,0.0
ServiceTimeSavedFromFlashPrefetchFirstHit,0.0
ServiceTimeSavedFlashPrefetchFirstHitRatio,0.0
ServiceTimeSavedFromRam,0.0
ServiceTimeSavedRamRatio,0.0
ServiceTimeSaved,399.7731713286713
ServiceTimePutUtil,4.861789949125937
PeakServiceTimePutUtil,13.784123284125105
P50ServiceTimeUsedNoCache,3.8984527972026513
P50ServiceTimeNoCacheUtil,18.048392579641902
P50ServiceTimeUsedWithPutNoCache,4.936669580420528
P50ServiceTimePut,0.9900122377623859
P50ServiceTimePutUtil,4.583389989640676
P90ServiceTimeUsedNoCache,5.588216433566436
P90ServiceTimeNoCacheUtil,25.871372377622386
P90ServiceTimeUsedWithPutNoCache,6.866706993007028
P90ServiceTimePut,1.5957482517483699
P90ServiceTimePutUtil,7.387723387723935
P95ServiceTimeUsedNoCache,6.106818181819799
P95ServiceTimeNoCacheUtil,28.27230639731388
P95ServiceTimeUsedWithPutNoCache,7.49011818181811
P95ServiceTimePut,1.804929895105046
P95ServiceTimePutUtil,8.356156921782622
P99ServiceTimeUsedNoCache,7.868622342640966
P99ServiceTimeNoCacheUtil,36.42880714185632
P99ServiceTimeUsedWithPutNoCache,9.201453706281283
P99ServiceTimePut,2.3125404895106394
P99ServiceTimePutUtil,10.706205969956663
P99.5ServiceTimeUsedNoCache,8.836370262245115
P99.5ServiceTimeNoCacheUtil,40.909121584468124
P99.5ServiceTimeUsedWithPutNoCache,10.858538321666899
P99.5ServiceTimePut,2.608470664335966
P99.5ServiceTimePutUtil,12.076253075629472
P99.9ServiceTimeUsedNoCache,14.507292702825932
P99.9ServiceTimeNoCacheUtil,67.16339214271264
P99.9ServiceTimeUsedWithPutNoCache,16.313126395133768
P99.9ServiceTimePut,2.828288888112089
P99.9ServiceTimePutUtil,13.093930037555968
P99.99ServiceTimeUsedNoCache,29.99525829141342
P99.99ServiceTimeNoCacheUtil,138.86693653432138
P99.99ServiceTimeUsedWithPutNoCache,31.96900040190291
P99.99ServiceTimePut,2.96246245524512
P99.99ServiceTimePutUtil,13.71510395946815
P99.999ServiceTimeUsedNoCache,31.54405485027489
P99.999ServiceTimeNoCacheUtil,146.03729097349486
P99.999ServiceTimeUsedWithPutNoCache,33.53458780258258
P99.999ServiceTimePut,2.9758798119584466
P99.999ServiceTimePutUtil,13.777221351659474
ServiceTimeUsed1,3765.056881118433
ServiceTimeUtil1,17.296998378839483
ServiceTimeUsedOnPut1,3765.056881118433
ServiceTimeOnPutUtil1,17.296998378839483
ServiceTimeUsedWithPut1,4823.328108392413
ServiceTimeWithPutUtil1,22.158788327971106
